List of Tickers,Year,Sales in Mn. Dollars
ULBI,2020,107.712
SHEL,2020,180543
WTTR,2020,605.105
TXNM,2020,1523.012
CHX,2020,1899.996
AMRC,2020,1032.275
XOM,2020,178574
GIFI,2020,250.959
GIFI,2020,250.959
PHX,2020,24.9684
GCMG,2020,422.395
IEX,2020,2351.646
NOG,2020,552.209
OPTT,2020,1.682
ENPH,2020,774.425
ADT,2020,5314.787
SDIG,2020,4.1184
SHEL,2020,180543
OBE,2020,272.8
GNRC,2020,2485.2
WKC,2020,20358.3
PSX,2020,64129
LBRT,2020,965.787
WFG,2020,5850
XIFR,2020,917
HRI,2020,1781.3
SWX,2020,3298.873
ARES,2020,2235.769
CVX,2020,94471
MTRN,2020,1176.274
PHX,2020,24.9684
ENB,2020,39087
RPM,2020,5506.994
PWR,2020,11202.672
BLK,2020,16205
WTTR,2020,605.105
BRY,2020,523.833
EXE,2020,5240
CLSK,2020,10.0287
DINO,2020,11183.643
SUN,2020,10710
SHEL,2020,180543
DUK,2020,23868
MSFT,2020,143015
KMI,2020,11700
ORA,2020,705.342
WTTR,2020,605.105
KMI,2020,11700
GEOS,2020,87.835
PTEN,2020,1124.249
CDZI,2020,0.541
EPD,2020,27199.7
CE,2020,5655
RF,2020,6655
APO,2020,2110.9
KMI,2020,11700
MS,2020,52606
MS,2020,52606
CTRA,2020,1466
SPRU,2020,20.338
D,2020,14172
DTE,2020,11423
CIVI,2020,218.09
EQT,2020,3557.449
AMSC,2020,63.838
CHRD,2020,1307.674
AEP,2020,14918.5
XIFR,2020,917
EOSE,2020,0.219
EOSE,2020,0.219
DNOW,2020,1619
PPL,2020,5474
EFX,2020,4127.5
CVX,2020,94471
RNW,2020,#N/A N/A
CLSK,2020,10.0287
BIPC,2020,1430
ADN,2020,0
VRN,2020,1733.7
ET,2020,38954
NOVA,2020,160.82
NOG,2020,552.209
OPTT,2020,1.682
ENPH,2020,774.425
NFE,2020,451.65
NFE,2020,451.65
AEE,2019,5910
BLK,2019,14539
FANG,2019,4031
FANG,2019,4031
ENB,2019,50069
ORA,2019,746.044
TRP,2019,13255
GTLS,2019,1215.5
MUSA,2019,12101.3
LGO,2019,105.5258
STEM,2019,#N/A N/A
PEG,2019,10076
EMR,2019,18372
TRP,2019,13255
CIVI,2019,313.22
POR,2019,2123
COP,2019,32567
HON,2019,36709
ADN,2019,0
GNRC,2019,2204.336
HON,2019,36709
AMSC,2019,56.207
NEE,2019,19204
DVN,2019,6220
SND,2019,233.073
NOG,2019,472.401
OVV,2019,6726
PHX,2019,47.0623
SOL,2019,119.117
AEP,2019,15561.4
D,2019,14401
CMS,2019,6624
CMS,2019,6624
CNX,2019,1602.446
NRG,2019,9821
COP,2019,32567
ORA,2019,746.044
CVX,2019,139865
WEC,2019,7523.1
UGI,2019,7320
RUN,2019,858.578
SMHI,2019,174.453
FTK,2019,119.353
PLUG,2019,229.975
WTTR,2019,1291.589
NFG,2019,1693.332
EMR,2019,18372
PANW,2019,2899.6
APD,2019,8918.9
ALE,2019,1240.5
EMR,2019,18372
BX,2019,7338.27
D,2019,14401
D,2019,14401
VTOL,2019,226.059
TDY,2019,3163.6
CHX,2018,1218.156
PHX,2018,45.0343
EPM,2018,40.7735
UBS,2018,40206
D,2018,11199
VTOL,2018,221.676
DTE,2018,14212
NJR,2018,2915.109
SHEL,2018,388379
VTOL,2018,221.676
NVAX,2018,34.288
XIFR,2018,771
XIFR,2018,771
NGL,2018,16907.296
D,2018,11199
ET,2018,54087
DUK,2018,24521
KMI,2018,14144
TDY,2018,2901.8
AMT,2018,7440.1
VST,2018,9144
RUN,2018,759.981
TTE,2018,184106
AEP,2018,16195.7
UGI,2018,7651.2
TH,2018,240.6
CMI,2018,23771
AROC,2018,904.441
EPD,2018,36534.2
TH,2018,240.6
VATE,2018,1976.7
TTE,2018,184106
PBF,2018,27186.1
PLUG,2018,174.215
CRK,2018,390.251
TDY,2018,2901.8
TTE,2018,184106
DUK,2018,24521
DUK,2018,24521
NRG,2018,9478
OGE,2018,2270.3
DUK,2018,24521
CSIQ,2018,3744.512
NGL,2018,16907.296
OXY,2018,17824
MPLX,2018,7005
MPLX,2018,7005
TTE,2018,184106
AMPY,2018,340.144
ULBI,2018,87.19
GNRC,2018,2023.464
HLX,2018,739.818
MUR,2018,1764.498
NOG,2018,678.9245
REI,2018,108.9117
WM,2018,14914
WTTR,2018,1528.93
WTTR,2018,1528.93
WTTR,2018,1528.93
REI,2018,108.9117
KLAC,2018,4036.701
PANW,2018,2273.6
AEP,2018,16195.7
VST,2018,9144
CVX,2018,158902
NGL,2018,16907.296
CVI,2018,7124
SUN,2018,16994
AMRC,2018,787.138
CE,2018,7155
ADM,2018,64341
ARES,2017,1674.707
OGE,2017,2261.1
REI,2017,66.5798
TDY,2017,2149.9
CPK,2017,617.583
CPK,2017,617.583
VVV,2017,2084
SPXC,2017,1425.8
KMI,2017,13705
BKH,2017,1680.266
ENB,2017,44378
UGI,2017,6120.7
AMRC,2017,717.152
APH,2017,7011.3
D,2017,12586
GIB,2017,10845.066
NEE,2017,17173
SUN,2017,11723
PUMP,2017,981.865
GEOS,2017,73.721
WES,2017,2248.356
XEL,2017,11404
FANG,2017,1211.839
FCEL,2017,95.666
OVV,2017,4443
FANG,2017,1211.839
PTEN,2017,2356.684
SRE,2017,9640
VLO,2017,93980
SUN,2017,11723
TDY,2017,2149.9
NINE,2017,2603.8
EXC,2017,33586
AM,2017,0
AM,2017,0
FET,2017,818.62
MPLX,2017,3867
JCI,2017,22835
ED,2017,12033
ENB,2017,44378
ENB,2017,44378
ENB,2017,44378
AMRC,2017,717.152
AEP,2017,15424.9
ENB,2017,44378
ROCK,2017,986.918
ETR,2017,11074.481
APD,2017,8187.6
UGI,2017,6120.7
FANG,2017,1211.839
FANG,2017,1211.839
STWD,2017,1154.948
KOS,2017,675.573
ET,2017,40523
BIP,2017,3535
SUN,2017,11723
CRK,2017,255.331
NOG,2017,209.3197
GPRE,2017,3596.166
GEOS,2017,73.721
NEE,2017,17173
OKE,2017,12173.907
PLUG,2017,100.153
HAL,2017,20620
PHX,2017,46.335
NOG,2017,209.3197
TDW,2017,601.611
LNT,2017,3382.2
DUK,2017,23565
COP,2017,29106
BLDP,2017,121.288
FET,2017,818.62
FELE,2017,1124.909
L,2017,13735
WEC,2017,7648.5
