Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
25-11-2024,2023,SPRU,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,14-11-2024,2.29,05-12-2024,2.94,43.16,-6.63,342.154,Completed
21-11-2024,2023,AMPS,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,08-11-2024,3.11,02-12-2024,4.04,649.6,0.79,645.849,Completed
20-11-2024,2023,LB,Landbridge Co LLC,Wolf Bone Ranch/Delaware,VTX Energy Partners LLC,245,,08-11-2024,75.39,02-12-2024,72.71,1534.77,0.38,76,Completed
19-11-2024,2023,DTM,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200,,08-11-2024,97.17,29-11-2024,105.34,10366.73,0.73,5856083.829,Completed
14-11-2024,2023,FLEX,Flex Ltd,JETCOOL Technologies Inc,"In-Q-Tel Inc,Schooner Capital LLC,Robert Bosch Venture Capital GmbH,Raptor Group Holdings LP (Fund: RW3 Ventures I LP)",,,01-11-2024,35.48,25-11-2024,41.07,14420,1.44,167998.803,Completed
13-11-2024,2023,CTRA,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950,,01-11-2024,22.52,25-11-2024,26.99,19409.43,1.37,1358410,Completed
11-11-2024,2023,MARA,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,31-10-2024,16.77,21-11-2024,24.18,8487.94,-3.49,1455.589,Completed
06-11-2024,2023,NOW,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,25-10-2024,950.85,18-11-2024,1005.34,205347.2,1.88,2430,Completed
31-10-2024,2023,AEE,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,18-10-2024,88.19,11-11-2024,91.62,23338.86,0.46,9890558.98,Completed
30-10-2024,2023,EQNR,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250,,18-10-2024,23.45,11-11-2024,22.15,64881.14,1.69,11449109.44,Completed
29-10-2024,2023,CECO,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,18-10-2024,26.86,08-11-2024,25.08,789.37,0.64,5978.081,Completed
24-10-2024,2023,D,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160,,11-10-2024,54.93,04-11-2024,56.3,50594.16,-0.07,29523724,Completed
23-10-2024,2023,SHEL,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,11-10-2024,67.05,04-11-2024,66.32,195728.77,1.09,40524988.22,Completed
15-10-2024,2023,CIFR,Cipher Mining Inc,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,04-10-2024,4.1,25-10-2024,5.46,1583.5,2.05,476.454,Completed
07-10-2024,2023,CRK,Comstock Resources Inc,Quantum Generative Materials LLC,,,,26-09-2024,10.93,17-10-2024,11.61,3541.39,-0.74,402370.886,Completed
04-10-2024,2023,DSGR,Distribution Solutions Group I,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,23-09-2024,37.91,14-10-2024,40.12,1815.91,1.23,21419.678,Completed
01-10-2024,2023,SMC,Summit Midstream Corp,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,20-09-2024,35.91,11-10-2024,36.15,366.85,-9.88,10916116.91,Completed
30-09-2024,2023,ULBI,Ultralife Corp,Electrochem Solutions Inc,Integer Holdings Corp,50,,19-09-2024,9.58,10-10-2024,8.96,150.31,0.15,5610.406,Completed
12-09-2024,2023,APO,Apollo Global Management Inc,Freedom CNG Management LLC,,,,30-08-2024,115.07,23-09-2024,124.52,63741.66,0.39,1182,Completed
03-09-2024,2023,WFRD,Weatherford International PLC,Datagration LLC,,,,23-08-2024,107.3,13-09-2024,90.93,7049.81,2.17,116153,Completed
29-08-2024,2023,OKE,ONEOK Inc,Medallion Midstream LLC,Global Infrastructure Management LLC,2600,,16-08-2024,85.65,09-09-2024,90.13,55118.58,1.44,3994126.195,Completed
27-08-2024,2023,TPL,Texas Pacific Land Corp,2 oil & gas mineral interests/Permian Basin,,169,,16-08-2024,819.56,06-09-2024,797.71,19682.05,9.48,13819,Completed
06-08-2024,2023,CEG,Constellation Energy Corp,Constellation South Texas LLC,,,,26-07-2024,174.44,16-08-2024,189.68,56443.98,1.61,9679181,Completed
06-08-2024,2023,MPLX,MPLX LP,BANGL NGL pipeline/Permian,,,,26-07-2024,40.6,16-08-2024,40.76,40098.06,2.93,5401376.567,Completed
29-07-2024,2023,PR,Permian Resources Corp,Certain Basin assets/Texas,Occidental Petroleum Corp,818,,18-07-2024,15.86,08-08-2024,14.18,10532.91,1.28,892378.209,Completed
29-07-2024,2023,SD,SandRidge Energy Inc,Certain Assets,,144,,18-07-2024,13.14,08-08-2024,12.42,481.08,4.51,33621.262,Completed
23-07-2024,2023,FLS,Flowserve Corp,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Nexgen Cryogenic Solutions Inc,,,12-07-2024,48,02-08-2024,46.47,6632.79,1.41,14551.5,Completed
22-07-2024,2023,AROC,Archrock Inc,Total Operations & Production Services LLC,Apollo Global Management Inc,969.63,,11-07-2024,20.97,01-08-2024,19.05,3992.96,1.56,18566.676,Completed
22-07-2024,2023,DOV,Dover Corp,Marshall Excelsior Co,Harbour Group Industries Inc,395,,11-07-2024,180.66,01-08-2024,177.73,24661.74,11.48,54787,Completed
10-07-2024,2023,HON,Honeywell International Inc,Liquefied natural gas process technology and equipment business/Allentown,Air Products and Chemicals Inc,1810,,28-06-2024,210.21,22-07-2024,213.59,137228.91,1.71,695159.079,Completed
09-07-2024,2023,SEI,Solaris Energy Infrastructure,Mobile Energy Rentals LLC,,198.63,,28-06-2024,8.46,19-07-2024,12.73,309.86,-0.1,4068.426,Completed
09-07-2024,2023,UTL,Unitil Corp,Bangor Natural Gas Co,Hearthstone Utilities Inc,70.9,,28-06-2024,50.64,19-07-2024,56,822.76,0.87,20546.162,Completed
08-07-2024,2023,DVN,Devon Energy Corp,Williston Basin business/Grayson Mill Energy LLC,Grayson Mill Energy LLC,5000,,27-06-2024,46.19,18-07-2024,47.62,29646.6,2.1,2188624.653,Completed
27-06-2024,2023,GNRC,Generac Holdings Inc,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Sungrid Solutions Inc,,,14-06-2024,134.97,08-07-2024,142.19,8103.33,2.52,34280,Completed
24-06-2024,2023,AMPS,Altus Power Inc,8.5 MW solar array/New Jersey,,,,13-06-2024,4.38,05-07-2024,4.02,644.8,0.79,645.849,Completed
20-06-2024,2023,NXT,NEXTracker Inc,Ojjo Inc,"NGP Energy Capital Management LLC,Ajax Strategies LLC",119,,07-06-2024,55.65,01-07-2024,46.12,8148.36,3.86,22015.5,Completed
12-06-2024,2023,MTDR,Matador Resources Co,Ameredev Stateline II LLC,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905,,31-05-2024,62.58,24-06-2024,58.47,7311.7,1.98,1051432,Completed
10-06-2024,2023,NE,Noble Corp PLC,Diamond Offshore Drilling Inc,,2171.27,12.19,30-05-2024,44,20-06-2024,43.25,6983.77,1.21,440479.6359,Completed
03-06-2024,2023,PUMP,ProPetro Holding Corp,Aqua Prop LLC,,24.88,,23-05-2024,9.54,13-06-2024,8.58,949.15,-1.39,294004.681,Completed
28-05-2024,2023,COP,ConocoPhillips,Marathon Oil Corp,,22921.61,5.22,17-05-2024,119.03,07-06-2024,109.54,148031.21,1.88,8221074.884,Completed
28-05-2024,2023,ET,Energy Transfer LP,WTG Midstream LLC,Diamondback Energy Inc,3250,,17-05-2024,15.11,07-06-2024,14.66,50320.29,0.86,17288.652,Completed
22-05-2024,2023,KMI,Kinder Morgan Inc,Oil & gas producing assets/US,,100,,10-05-2024,18.41,03-06-2024,18.82,41579.25,0.93,14900000,Completed
13-05-2024,2023,OKE,ONEOK Inc,Certain pipeline systems/Gulf Coast,Easton Energy LLC,280,,02-05-2024,74.46,23-05-2024,77.6,48694.15,1.44,3994126.195,Completed
09-05-2024,2023,KNTK,Kinetik Holdings Inc,Durango Permian LLC,Morgan Stanley Energy Partners,315,,26-04-2024,37.27,20-05-2024,39.1,2229.79,1.22,2020748.926,Completed
30-04-2024,2023,PWR,Quanta Services Inc,Sherman + Reilly Inc,Greenlee Textron Inc,,,19-04-2024,243.02,10-05-2024,271.22,38280.83,1.63,988361.193,Completed
29-04-2024,2023,TMHC,Taylor Morrison Home Corp,Pyatt Builders LLC,,,,18-04-2024,54.03,09-05-2024,59.4,5870.28,2.61,117397.114,Completed
26-04-2024,2023,APO,Apollo Global Management Inc,US Silica Holdings Inc,,1850,4.32,15-04-2024,106.1,06-05-2024,109.94,63136.14,0.39,1182,Completed
15-04-2024,2023,EQNR,Equinor ASA,Non-operated natural gas assets/EQT Corp,EQT Corp,500,,04-04-2024,25.79,25-04-2024,25.72,69741.16,1.69,11449109.44,Completed
01-04-2024,2023,AM,Antero Midstream Corp,Gathering & compression assets/Summit Midstream Partners LP,Summit Midstream Partners LP,70,,21-03-2024,13.18,11-04-2024,13.21,6378.87,1.93,1021615.772,Completed
01-04-2024,2023,WTTR,Select Water Solutions Inc,Trinity Environmental Services LLC,,,,21-03-2024,9.07,11-04-2024,9.09,929.75,-0.12,244677.912,Completed
22-03-2024,2023,MPLX,MPLX LP,Summit Midstream Utica LLC,Summit Midstream Partners LP,625,,11-03-2024,37.5,01-04-2024,38.14,38287.63,2.93,5401376.567,Completed
22-03-2024,2023,REPX,Riley Exploration Permian Inc,Upstream oil & gas assets/Eddy County,Contango Oil & Gas Co,20.5,,11-03-2024,26.22,01-04-2024,32.07,627.93,2.57,84832.27,Completed
18-03-2024,2023,INVX,Innovex International Inc,Innovex Downhole Solutions Inc,,739.4,7.13,07-03-2024,22.49,28-03-2024,22.53,1595.72,7.29,8890.858063,Completed
15-03-2024,2023,UHAL,U-Haul Holding Co,"469 E. Spaulding Ave/Pueblo West,827 Village Circle/Pueblo",,,,04-03-2024,65.49,25-03-2024,66,1288.43,0.33,51811.349,Completed
12-03-2024,2023,BLK,BlackRock Inc,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Excelsior Energy Capital LP,,,01-03-2024,795.83,22-03-2024,810.59,126573.1,1.2,6689,Completed
11-03-2024,2023,EQT,EQT Corp,Equitrans Midstream Corp,,12880.88,12.38,29-02-2024,36.55,21-03-2024,33.81,20345.61,1.05,222984.919,Completed
11-03-2024,2023,ACA,Arcosa Inc,Ameron Pole Products LLC,NOV Inc,180,,29-02-2024,82.82,21-03-2024,84.96,4081.31,-0.16,269401.5,Completed
05-03-2024,2023,TALO,Talos Energy Inc,Quarternorth Energy Holding Inc,,,,23-02-2024,12.95,15-03-2024,12.85,2347.98,-1.04,646960.3,Completed
29-02-2024,2023,LUV,Southwest Airlines Co,LanzaJet Inc,,30,,16-02-2024,33.16,11-03-2024,33.19,19850.17,0.77,20684739.36,Completed
21-02-2024,2023,WEC,WEC Energy Group Inc,Samson I solar energy center/Wisconsin,,28.1,,09-02-2024,73.98,04-03-2024,76.87,24293.15,0.96,9505686.624,Completed
12-02-2024,2023,FANG,Diamondback Energy Inc,Endeavor Energy Resources LP,,24997.05,,01-02-2024,146.21,22-02-2024,169.2,45993.3,1.6,1568750.324,Completed
09-02-2024,2023,VTLE,Vital Energy Inc,2nd producing assets/Permian Basin,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",78,,29-01-2024,44.12,20-02-2024,45.69,1647.23,-6.11,254174.781,Completed
09-02-2024,2023,MGEE,MGE Energy Inc,723.2 mw natural gas project/Wisconsin,Alliant Energy Corp,,,29-01-2024,64.21,20-02-2024,63.29,2325.37,0.78,1771471.722,Completed
06-02-2024,2023,DNOW,DNOW Inc,Whitco Supply LLC,,185,,26-01-2024,10.11,16-02-2024,12.14,1042.07,1.42,19582,Completed
06-02-2024,2023,NWN,Northwest Natural Holding Co,Truxton Canyon Water Co Inc,,,,26-01-2024,36.4,16-02-2024,34.73,1365.61,0.86,157587.886,Completed
05-02-2024,2023,AWK,American Water Works Co Inc,Appliance Service Plan/Consumers Energy,CMS Energy Corp,,,25-01-2024,120.47,15-02-2024,121.44,23019.27,0.73,76351.624,Completed
02-02-2024,2023,MGEE,MGE Energy Inc,4 MW solar hybrid project west riverside energy center/Wisconsin,Alliant Energy Corp,,,22-01-2024,66.85,12-02-2024,64.35,2285.56,0.78,1771471.722,Completed
01-02-2024,2023,WFRD,Weatherford International PLC,"Probe Technology Services Inc,Impact Selector International LLC",Turnbridge Capital LLC,,,19-01-2024,94.38,12-02-2024,96.75,6351.88,2.17,116153,Completed
31-01-2024,2023,AMPS,Altus Power Inc,84 MWs of commercial scale solar arrays/US,Vitol Holding BV,118,,19-01-2024,5.49,12-02-2024,6.92,862.4,0.79,645.849,Completed
30-01-2024,2023,WTTR,Select Water Solutions Inc,"Tri-State Water Logistics LLC,Iron Mountain Energy LLC,Facilities & recycling capacity/Rockies Region",,90,,19-01-2024,6.89,09-02-2024,7.36,768.55,-0.12,244677.912,Completed
30-01-2024,2023,NVAX,NOV Inc,Extract Production Services LLC,"White Deer Management LLC,Riata Capital Group (Fund: RCG Equity Fund II LP)",,,19-01-2024,4.05,09-02-2024,4.03,648.2,-7.08,11985.678,Completed
22-01-2024,2023,SUN,Sunoco LP,NuStar Energy LP,,6481.94,9.53,11-01-2024,54.96,01-02-2024,55.08,7147.35,0.72,129698.8917,Completed
16-01-2024,2023,TALO,Talos Energy Inc,QuarterNorth Energy Inc,,1312.46,,05-01-2024,13.71,26-01-2024,13.18,2277.76,-1.04,646960.3,Completed
11-01-2024,2023,EXE,Expand Energy Corp,Southwestern Energy Co,,11597.17,1.35,29-12-2023,74.75,22-01-2024,73.17,18000.49,-1.43,276021.4837,Completed
11-01-2024,2023,SUN,Sunoco LP,Zenith Energy Netherlands BV,Zenith Energy Ltd,186.17,,29-12-2023,55.41,22-01-2024,52.46,7487.46,0.72,129698.8917,Completed
04-01-2024,2023,APA,APA Corp,Callon Petroleum Co,,4454.48,2.04,22-12-2023,34.4,16-01-2024,29.91,11888.84,1.83,3720125.779,Completed
28-12-2023,2022,NFE,New Fortress Energy Inc,1.6 GW Capacity Reserve Contract,Ceiba Energy LLC,,,15-12-2023,37.02,08-01-2024,35.8,10265.21,0.08,679964,Completed
22-12-2023,2022,VTLE,Vital Energy Inc,Producing assets/Permian Basin,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",55,,11-12-2023,42.62,02-01-2024,45.21,1733.77,-6.11,386367.84,Completed
20-12-2023,2022,CPK,Chesapeake Utilities Corp,Propane Operating Assets/Jt Lee & Sons Inc,JT Lee & Sons Inc,3.9,,08-12-2023,97.54,02-01-2024,103.48,2301.34,1.02,215226,Completed
14-12-2023,2022,SHEL,Shell PLC,Kaikias field/US Gulf of Mexico,Mitsui & Co Ltd,,,01-12-2023,62.18,26-12-2023,62.82,187015.37,1.09,41006166.52,Completed
11-12-2023,2022,OXY,Occidental Petroleum Corp,CrownRock LP,"Lime Rock Partners LLC,Crownquest Operating LLC",12000,,30-11-2023,58.02,21-12-2023,59.48,52697.49,-0.15,17551718.18,Completed
11-12-2023,2022,WCN,Waste Connections Inc,29 facilities/Secure Energy Services Inc,Secure Waste Infrastructure Co,791.74,,30-11-2023,134.58,21-12-2023,146.31,36278.35,-0.99,4812957,Completed
07-12-2023,2022,ARRY,Array Technologies Inc,Litigation Solutions Inc,,,,24-11-2023,15.07,18-12-2023,18.97,2413,-9.04,287,Completed
04-12-2023,2022,PUMP,ProPetro Holding Corp,PAR Five Energy Services LLC,,25.4,,22-11-2023,9.18,14-12-2023,8.59,935.74,-1.39,245111.495,Completed
21-11-2023,2022,NOG,Northern Oil and Gas Inc,Core non operated properties/Northern Delaware,,162.6,,10-11-2023,34.39,01-12-2023,35.87,3521.02,1.28,351378.5815,Completed
06-11-2023,2022,VRN,Veren Inc,Hammerhead Energy Inc,,1710.59,,26-10-2023,7.6,16-11-2023,6.51,4655.45,1.25,719333,Completed
03-11-2023,2022,ENB,Enbridge Inc,7 Operating landfill gas-to-RNG facilities/Morrow Renewables,Morrow Renewables LLC,1200,,23-10-2023,29.97,13-11-2023,31.55,68781.19,0.27,7717086.429,Completed
03-11-2023,2022,FET,Forum Energy Technologies Inc,Variperm Energy Services Inc,,155.28,,23-10-2023,22.66,13-11-2023,23.14,289.65,-1.52,8352.062,Completed
02-11-2023,2022,COP,ConocoPhillips,Torys LLP,,,,20-10-2023,119.11,13-11-2023,111.31,149058.88,1.88,4988534.868,Completed
01-11-2023,2022,BIP,Brookfield Infrastructure Partners LP,Portfolio of 2 Data centres/Silicon Valley,Digital Core REIT Management Pte Ltd,160.2,,20-10-2023,21.97,13-11-2023,23.97,10959.75,0,2453832.899,Completed
23-10-2023,2022,BIP,Brookfield Infrastructure Partners LP,Data centers/Cyxtera Technologies Inc,Cyxtera Technologies Inc,775,,12-10-2023,26,02-11-2023,25.72,10046.8,0,2453832.899,Completed
23-10-2023,2022,ORA,Ormat Technologies Inc,Portfolio of 150 MW Operating Geothermal & Solar Assets/Nevada,Enel SpA,271,,12-10-2023,66.22,02-11-2023,63.1,3899.4,0.72,208666.5768,Completed
13-10-2023,2022,HLX,Helix Energy Solutions Group Inc,Plugging & Abandonment Business/QuarterNorth Energy LLC,QuarterNorth Energy LLC,,,02-10-2023,10.71,23-10-2023,10.13,1621.05,0.77,226639.444,Completed
11-10-2023,2022,XOM,Exxon Mobil Corp,Pioneer Natural Resources Co,,67995.45,5.39,29-09-2023,111.67,23-10-2023,103.95,438858.51,1.68,109000000,Completed
09-10-2023,2022,VTS,Vitesse Energy Inc,Williston Basin/North Dakota,,,,28-09-2023,20.83,19-10-2023,22.54,632.59,2.2,43.78101401,Completed
05-10-2023,2022,XIFR,XPLR Infrastructure LP,South Texas Midstream LLC,,,,22-09-2023,41.15,16-10-2023,18.71,1655.09,-0.56,90846.347,Completed
04-10-2023,2022,CIVI,Civitas Resources Inc,Oil producing assets/Midland Basin,Vencer Energy LLC,2135.7,,22-09-2023,69.99,16-10-2023,68,5939.15,1.01,1250800,Completed
27-09-2023,2022,CPK,Chesapeake Utilities Corp,Florida City Gas Co,NextEra Energy Inc,923,,15-09-2023,108.11,09-10-2023,89.69,2264.48,1.02,215226,Completed
26-09-2023,2022,CPK,Chesapeake Utilities Corp,Pivotal Utility Holdings Inc,Florida Power & Light Co,923.4,,15-09-2023,108.11,06-10-2023,90.88,2367.78,1.02,215226,Completed
21-09-2023,2022,MAXN,Maxeon Solar Technologies Ltd,Sales channel assets & shingled solar panel ip/Solaria Corp,Solaria Corp,,,08-09-2023,1487,02-10-2023,1073,20436.94,-89.26,580,Completed
18-09-2023,2022,GPRE,Green Plains Inc,Green Plains Partners LP,,280.01,7.03,07-09-2023,32.79,28-09-2023,30.2,2109.53,-3.08,1296632.039,Completed
14-09-2023,2022,CVX,Chevron Corp,ACES Delta project/Central,,,,01-09-2023,154.17,25-09-2023,158.31,276272.39,1.26,53000000,Completed
12-09-2023,2022,FTV,Fortive Corp,Solmetric Corp,Vivint Solar Inc,,,01-09-2023,78.52,22-09-2023,73.81,25857.84,1.23,24419.553,Completed
12-09-2023,2022,CVX,Chevron Corp,Magnum Development LLC,NGL Energy Partners LP,,,01-09-2023,154.17,22-09-2023,156.03,275578.59,1.26,53000000,Completed
07-09-2023,2022,TS,Tenaris SA,Pipe processing facility/Republic Tube LLC,Republic Tube LLC,,,25-08-2023,30.83,18-09-2023,31.1,16053.49,2.12,590.4629236,Completed
06-09-2023,2022,ENB,Enbridge Inc,Wexpro Co,Dominion Energy Inc,4300,,25-08-2023,32.1,18-09-2023,32.68,67520.62,0.27,7717086.429,Completed
