Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
31-12-2024,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405,,Completed,Central Pacific Financial Corp
24-12-2024,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,Completed,Constellation Energy Corp
18-12-2024,YPF.SG,YPF SA,Mobil Argentina SA,Exxon Mobil Corp,327,,Completed,YPF SA
18-12-2024,STSFF,Smartstop Self Storage REIT Inc,Class A self-storage facility/Aurora,,,,Completed,Smartstop Self Storage REIT Inc
13-12-2024,DKL,Delek Logistics Partners LP,Gravity water midstream division/Gravity Oilfield Services Inc,Gravity Oilfield Services Inc,285,,Completed,Delek Logistics Partners LP
09-12-2024,FRU.TO,Freehold Royalties Ltd,Mineral title & royalty interests/Midland Basin,,216,,Completed,Freehold Royalties Ltd
05-12-2024,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505,,Completed,CNX Resources Corp
05-12-2024,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,Completed,Altus Power Inc
04-12-2024,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905,,Completed,Crescent Energy Co
03-12-2024,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155,,Completed,Summit Midstream Corp
03-12-2024,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,Completed,Eversource Energy
03-12-2024,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,Completed,MARA Holdings Inc
02-12-2024,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,Completed,Cenovus Energy Inc
02-12-2024,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,Completed,Innovex International Inc
27-11-2024,HDRO.V,Primary Hydrogen Corp,"131 claims Mary's Harbour hydrogen project/Labrador,211 claims Point Rosie hydrogen Project/Newfoundland",,,,Completed,Primary Hydrogen Corp
26-11-2024,DNOW,DNOW Inc,Trojan Rentals LLC,,,,Completed,DNOW Inc
25-11-2024,SPRU,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,Completed,Spruce Power Holding Corp
25-11-2024,ALCE,Alternus Clean Energy Inc,Customer contracts & service agreements/Liion LLC,Liion LLC,2.5,,Completed,Alternus Clean Energy Inc
25-11-2024,SUN.V,Stardust Solar Energy Inc,Certain assets/Solar Grids Development LLC,Solar Grids Development LLC,,,Completed,Stardust Solar Energy Inc
25-11-2024,NXXT,NextNRG Inc,Mobile fuel service operations/Yoshi Inc,Yoshi Inc,,,Completed,NextNRG Inc
24-11-2024,OKE,ONEOK Inc,EnLink Midstream LLC,,8631.38,8.38,Completed,ONEOK Inc
21-11-2024,KRKA.BE,KOC Holding AS,StemBioSys Inc,,,,Completed,KOC Holding AS
21-11-2024,AMPS,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,Completed,Altus Power Inc
20-11-2024,LB,Landbridge Co LLC,Wolf Bone Ranch/Delaware,VTX Energy Partners LLC,245,,Completed,Landbridge Co LLC
19-11-2024,DTM,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200,,Completed,DT Midstream Inc
19-11-2024,HTOO,Fusion Fuel Green PLC,Quality Industrial Corp,"ILUS International Inc,Exchange Listing LLC",2.18,,Completed,Fusion Fuel Green PLC
14-11-2024,OVV,Ovintiv Inc,Karr Wapiti & Zama properties/Paramount Resources Ltd,Paramount Resources Ltd,2377,,Completed,Ovintiv Inc
14-11-2024,FLEX,Flex Ltd,JETCOOL Technologies Inc,"In-Q-Tel Inc,Schooner Capital LLC,Robert Bosch Venture Capital GmbH,Raptor Group Holdings LP (Fund: RW3 Ventures I LP)",,,Completed,Flex Ltd
13-11-2024,CTRA,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950,,Completed,Coterra Energy Inc
12-11-2024,TOU.TO,Tourmaline Oil Corp,Todd Energy Canada Ltd,,215.01,,Completed,Tourmaline Oil Corp
11-11-2024,MARA,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,Completed,MARA Holdings Inc
06-11-2024,FREY,Freyr Battery Inc,1350000 sq ft solar module manufacturing facility/Wilmer,Trina Solar Co Ltd,300,,Completed,Freyr Battery Inc
06-11-2024,X6U0.F,Silicon Metals Corp,Silica Ridge Silica Project/MacKenzie,Cronin Exploration Inc,0.23,,Completed,Silicon Metals Corp
06-11-2024,X6U0.F,Silicon Metals Corp,Longworth Silica Project/George,Cronin Exploration Inc,0.13,,Completed,Silicon Metals Corp
06-11-2024,PWH.V,PureWave Hydrogen Corp,Purewave Hydrogen Corp/US,,,,Completed,PureWave Hydrogen Corp
06-11-2024,5BP.HA,Corp ACCIONA Energias Renovables SA,300 MW wind farm/Texas,,,,Completed,Corp ACCIONA Energias Renovables SA
06-11-2024,NOW,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,Completed,ServiceNow Inc
05-11-2024,ANA.VI,Acciona SA,Portfolio of 2 new wind farms/Texas,,202.5,,Completed,Acciona SA
04-11-2024,ZEOWW,Zeo Energy Corp,Certain Assets,Lumio Holdings Inc,12.92,,Completed,Zeo Energy Corp
31-10-2024,AEE,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,Completed,Ameren Corp
30-10-2024,EQNR,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250,,Completed,Equinor ASA
30-10-2024,8SW.F,Archer Ltd,Wellbore Fishing & Rental Tools LLC,,51.5,,Completed,Archer Ltd
30-10-2024,MEY.DU,Meritage Homes Corp,Certain assets/Elliott Homes Inc,Elliott Homes Inc,,,Completed,Meritage Homes Corp
29-10-2024,CECO,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,Completed,CECO Environmental Corp
24-10-2024,D,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160,,Completed,Dominion Energy Inc
23-10-2024,SHEL,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,Completed,Shell PLC
15-10-2024,CIFR,Cipher Mining Inc,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,Completed,Cipher Mining Inc
07-10-2024,CRC.BE,Canadian Natural Resources Ltd,"Athabasca Oil Sands Project/Alberta,Duvernay shale/Alberta","Chevron Corp,Chevron Canada Oil Sands Partnership",6500,,Completed,Canadian Natural Resources Ltd
07-10-2024,CRK,Comstock Resources Inc,Quantum Generative Materials LLC,,,,Completed,Comstock Resources Inc
04-10-2024,TLN,Talen Energy Corp,Nautilus Cryptomine facility,Terawulf Inc,85,,Completed,Talen Energy Corp
04-10-2024,DSGR,Distribution Solutions Group I,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,Completed,Distribution Solutions Group I
01-10-2024,SMC,Summit Midstream Corp,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,Completed,Summit Midstream Corp
30-09-2024,ULBI,Ultralife Corp,Electrochem Solutions Inc,Integer Holdings Corp,50,,Completed,Ultralife Corp
30-09-2024,PGHN.SW,Partners Group Holding AG,Gateway EV Fleets LLC,,,,Completed,Partners Group Holding AG
26-09-2024,GEVO,Gevo Inc,Cultivate Agricultural Intelligence LLC,,6,,Completed,Gevo Inc
26-09-2024,X6U0.F,Silicon Metals Corp,Ptarmigan Silica Project/Valemount,Cronin Exploration Inc,0.08,,Completed,Silicon Metals Corp
25-09-2024,ARSLF,Altima Energy Inc,Richdale assets/Alberta,Uriel Gas Holdings Corp,0.45,,Completed,Altima Energy Inc
25-09-2024,8002.T,Marubeni Corp,Eagle Ford CCS Project/Ozona CCS LLC,Ozona CCS LLC,,,Completed,Marubeni Corp
16-09-2024,PM7.F,Revolve Renewable Power Corp,30MWp solar project/Alberta,,,,Completed,Revolve Renewable Power Corp
12-09-2024,GEVO,Gevo Inc,Ethanol production plant & carbon capture & sequestration assets/US,Red Trail Energy LLC,210,,Completed,Gevo Inc
