institutionid,periodenddate,GHG_Emissions,Ticker
103464,30-11-2020,2400.961,
103464,30-11-2021,3084.769,JEF
103464,30-11-2021,3084.769,
103464,30-11-2021,3084.769,
103464,30-11-2022,4223,JEF
103464,30-11-2022,4223,
103464,30-11-2022,4223,
103464,30-11-2023,3940.262,JEF
103464,30-11-2023,3940.262,
103464,30-11-2023,3940.262,
113071,31-12-2013,12995.13147,JLL
113071,31-12-2013,12995.13147,
113071,31-12-2014,12907.41059,JLL
113071,31-12-2014,12907.41059,
113071,31-12-2015,19108.83059,JLL
113071,31-12-2015,19108.83059,
113071,31-12-2016,21473.63939,JLL
113071,31-12-2016,21473.63939,
113071,31-12-2017,22283.6704,JLL
113071,31-12-2017,22283.6704,
113071,31-12-2018,39767.845,JLL
113071,31-12-2018,39767.845,
113071,31-12-2019,33980.93334,JLL
113071,31-12-2019,33980.93334,
113071,31-12-2020,27430.983,JLL
113071,31-12-2020,27430.983,
113071,31-12-2021,35454.398,JLL
113071,31-12-2021,35454.398,
113071,31-12-2022,33179.569,JLL
113071,31-12-2022,33179.569,
113071,31-12-2023,25863,JLL
113071,31-12-2023,25863,
114523,31-12-2013,1020000.005,CAT
114523,31-12-2014,990000.0159,CAT
114523,31-12-2015,890000.1362,CAT
114523,31-12-2016,863000,CAT
114523,31-12-2017,860000,CAT
114523,31-12-2018,930000,CAT
114523,31-12-2019,905000,CAT
114523,31-12-2020,694000,CAT
114523,31-12-2021,740000,CAT
114523,31-12-2022,740000,CAT
114523,31-12-2023,690000,CAT
1031123,31-12-2013,4735975.911,HE
1031123,31-12-2014,6072777.477,HE
1031123,31-12-2015,5790394.616,HE
1031123,31-12-2016,5522662.923,HE
1031123,31-12-2017,4420555.62,HE
1031123,31-12-2018,4618228.434,HE
1031123,31-12-2019,5696096.466,HE
1031123,31-12-2020,4680788.358,HE
1031123,31-12-2021,4681704.392,HE
1031123,31-12-2022,4110055,HE
1031123,31-12-2023,4399831.768,HE
3007562,31-12-2013,133990959.6,XOM
3007562,31-12-2014,120990342.2,XOM
3007562,31-12-2015,118027882.3,XOM
3007562,31-12-2016,120041438.1,XOM
3007562,31-12-2017,117000000,XOM
3007562,31-12-2018,119000000,XOM
3007562,31-12-2019,114000000,XOM
3007562,31-12-2020,108000000,XOM
3007562,31-12-2021,108000000,XOM
3007562,31-12-2022,109000000,XOM
3007562,31-12-2023,91222870.19,XOM
3009591,31-12-2016,68142.54306,DAN
3009591,31-12-2016,68142.54306,
3009591,31-12-2017,208579.3339,DAN
3009591,31-12-2017,208579.3339,
3009591,31-12-2018,129699.9432,DAN
3009591,31-12-2018,129699.9432,
3009591,31-12-2019,160011.18,DAN
3009591,31-12-2019,160011.18,
3009591,31-12-2020,133221,DAN
3009591,31-12-2020,133221,
3009591,31-12-2021,145236,DAN
3009591,31-12-2021,145236,
3009591,31-12-2022,142869,DAN
3009591,31-12-2022,142869,
3009591,31-12-2023,135503.446,DAN
3009591,31-12-2023,135503.446,
3010401,31-12-2013,45455621.57,NEE
3010401,31-12-2013,45455621.57,
3010401,31-12-2014,47752192.17,NEE
3010401,31-12-2014,47752192.17,
3010401,31-12-2015,49669111.59,NEE
3010401,31-12-2015,49669111.59,
3010401,31-12-2016,41875092.69,NEE
3010401,31-12-2016,41875092.69,
3010401,31-12-2017,39293829.13,NEE
3010401,31-12-2017,39293829.13,
3010401,31-12-2018,38480404.08,NEE
3010401,31-12-2018,38480404.08,
3010401,31-12-2019,45652569.37,NEE
3010401,31-12-2019,45652569.37,
3010401,31-12-2020,43363238.36,NEE
3010401,31-12-2020,43363238.36,
3010401,31-12-2021,43054842.97,NEE
3010401,31-12-2021,43054842.97,
3010401,31-12-2022,41985979,NEE
3010401,31-12-2022,41985979,
3010401,31-12-2023,42278597,NEE
3010401,31-12-2023,42278597,
4000820,31-12-2013,1481580.306,MUR
4000820,31-12-2013,1481580.306,
4000820,31-12-2014,3161035.801,MUR
4000820,31-12-2014,3161035.801,
4000820,31-12-2015,2496652.37,MUR
4000820,31-12-2015,2496652.37,
4000820,31-12-2016,1872488.354,MUR
