Ticker,Acquirer Name,Announce Date,Market_Cap_mil,Debt_to_Equity,ROA_percent,Status
WFRD,Weatherford International PLC,03-09-2024,7049.81,,2.17,Success
FAIR.V,Fairchild Gold Corp,30-08-2024,2.21,,-29.07,Success
OKE,ONEOK Inc,29-08-2024,55118.58,,1.44,Success
TPL,Texas Pacific Land Corp,27-08-2024,19682.05,,9.48,Success
LHA.DE,Deutsche Lufthansa AG,22-08-2024,6703.29,,2.36,Success
EPD,Enterprise Products Partners LP,21-08-2024,60761.72,,1.89,Success
DEC,Diversified Energy Co PLC,20-08-2024,742.03,,,Success
NAHD,New Asia Holdings Inc,13-08-2024,92.78,,-353.45,Success
PGHN.SW,Partners Group Holding AG,13-08-2024,29880.38,,,Success
TOU.TO,Tourmaline Oil Corp,12-08-2024,22129.51,,1.75,Success
DKL,Delek Logistics Partners LP,07-08-2024,1987.96,,1.73,Success
EMPPF,EMP Metals Corp,07-08-2024,32.85,,-3.84,Success
CEG,Constellation Energy Corp,06-08-2024,56443.98,,1.61,Success
MPLX,MPLX LP,06-08-2024,40098.06,,2.93,Success
ZEFI.NE,Zefiro Methane Corp,06-08-2024,106.76,,-18.1,Success
CSLRW,Complete Solaria Inc,05-08-2024,,,-72.23,Success
FOMA.SG,Fomento Economico Mexicano SAB de CV,01-08-2024,,,,Success
O9B.F,Enrg Elements Ltd,01-08-2024,4.88,,,Success
TTGXF,Trans Canada Gold Corp,30-07-2024,,,4.81,Success
PR,Permian Resources Corp,29-07-2024,10532.91,,1.28,Success
SD,SandRidge Energy Inc,29-07-2024,481.08,,4.51,Success
FLS,Flowserve Corp,23-07-2024,6632.79,,1.41,Success
AROC,Archrock Inc,22-07-2024,3992.96,,1.56,Success
DOV,Dover Corp,22-07-2024,24661.74,,11.48,Success
WDS,Woodside Energy Group Ltd,21-07-2024,,,,Success
TBABY,Trelleborg AB,17-07-2024,4829.38,,1.54,Success
CSLRW,Complete Solaria Inc,15-07-2024,,,-72.23,Success
SPRQF,Sparq Systems Inc,11-07-2024,38.77,,-8.18,Success
HON,Honeywell International Inc,10-07-2024,137228.91,,1.71,Success
DEC,Diversified Energy Co PLC,10-07-2024,840.58,,,Success
SEI,Solaris Energy Infrastructure,09-07-2024,309.86,,-0.1,Success
UTL,Unitil Corp,09-07-2024,822.76,,0.87,Success
DVN,Devon Energy Corp,08-07-2024,29646.6,,2.1,Success
301158.SZ,Dezhou United Petroleum Technology Co Ltd,05-07-2024,1796.36,,1.71,Success
CA89055A2039.SG,Topaz Energy Corp,02-07-2024,,,,Success
PBA,Pembina Pipeline Corp,02-07-2024,21475.71,,1.59,Success
AMPS,Altus Power Inc,30-06-2024,,,0.79,Success
GNRC,Generac Holdings Inc,27-06-2024,8103.33,,2.52,Success
AMPS,Altus Power Inc,24-06-2024,644.8,,0.79,Success
NXT,NEXTracker Inc,20-06-2024,8148.36,,3.86,Success
HEX.L,Helix Exploration PLC,20-06-2024,3610.31,,,Success
MTDR,Matador Resources Co,12-06-2024,7311.7,,1.98,Success
CA00791P1071.SG,Advantage Energy Ltd,11-06-2024,,,,Success
1UJ0.F,Union Jack Oil PLC,11-06-2024,21.85,,,Success
NE,Noble Corp PLC,10-06-2024,6983.77,,1.21,Success
ANNAW,AleAnna Inc,05-06-2024,,,-2.28,Success
PUMP,ProPetro Holding Corp,03-06-2024,949.15,,-1.39,Success
KLTO,Klotho Neurosciences Inc,30-05-2024,154.36,,-120.1,Success
COP,ConocoPhillips,28-05-2024,148031.21,,1.88,Success
ET,Energy Transfer LP,28-05-2024,50320.29,,0.86,Success
KMI,Kinder Morgan Inc,22-05-2024,41579.25,,0.93,Success
DFCO,Dalrada Financial Corp,21-05-2024,22.83,,-35.89,Success
PSX,Phillips 66,20-05-2024,57363.95,,0.01,Success
KEGX,Key Energy Services Inc,19-05-2024,,,,Success
IBE.VI,Iberdrola SA,17-05-2024,74864.95,,0.86,Success
CRGY,Crescent Energy Co,16-05-2024,2175.98,,-1.29,Success
LEGY.V,Legacy Gold Mines Ltd,15-05-2024,6.06,,-8.74,Success
OKE,ONEOK Inc,13-05-2024,48694.15,,1.44,Success
KNTK,Kinetik Holdings Inc,09-05-2024,2229.79,,1.22,Success
4YJ0.MU,Spartan Delta Corp,07-05-2024,,,0.56,Success
MONI,Moon Equity Holdings Corp,07-05-2024,5.12,,,Success
FDN.BE,EnerSys,03-05-2024,,,2.85,Success
PWR,Quanta Services Inc,30-04-2024,38280.83,,1.63,Success
TMHC,Taylor Morrison Home Corp,29-04-2024,5870.28,,2.61,Success
MUSLF,Promino Nutritional Sciences I,29-04-2024,16.63,,-62.77,Success
STR,Sitio Royalties Corp,27-04-2024,,,0.15,Success
APO,Apollo Global Management Inc,26-04-2024,63136.14,,0.39,Success
6E0.BE,Patria Investments Ltd,18-04-2024,,,0.11,Success
EQNR,Equinor ASA,15-04-2024,69741.16,,1.69,Success
ROXIF,Caspian Sunrise PLC,09-04-2024,22.55,,,Success
ELEC.V,Electric Royalties Ltd,08-04-2024,28.29,,-3.96,Success
WTRV,White River Energy Corp,06-04-2024,,,-541.45,Success
AM,Antero Midstream Corp,01-04-2024,6378.87,,1.93,Success
WTTR,Select Water Solutions Inc,01-04-2024,929.75,,-0.12,Success
LUV,Southwest Airlines Co,29-03-2024,,,0.77,Success
MPLX,MPLX LP,22-03-2024,38287.63,,2.93,Success
REPX,Riley Exploration Permian Inc,22-03-2024,627.93,,2.57,Success
5E8.F,Prospect Resources Ltd,21-03-2024,25.14,,,Success
SUUN,SolarBank Corp,20-03-2024,,,-0.49,Success
ENSV,Enservco Corp,20-03-2024,13.67,,-20.03,Success
DEC,Diversified Energy Co PLC,19-03-2024,648.58,,,Success
INVX,Innovex International Inc,18-03-2024,1595.72,,7.29,Success
CWEN,Clearway Energy Inc,15-03-2024,1669.02,,0.02,Success
UHAL,U-Haul Holding Co,15-03-2024,1288.43,,0.33,Success
S4O0.F,Source Energy Services Ltd,14-03-2024,86.01,,-1.21,Success
BLK,BlackRock Inc,12-03-2024,126573.1,,1.2,Success
EQT,EQT Corp,11-03-2024,20345.61,,1.05,Success
ACA,Arcosa Inc,11-03-2024,4081.31,,-0.16,Success
DTI,Drilling Tools International Corp,07-03-2024,105.71,,0.4,Success
TALO,Talos Energy Inc,05-03-2024,2347.98,,-1.04,Success
HA4.DU,HAL Trust,01-03-2024,,,,Success
LUV,Southwest Airlines Co,29-02-2024,19850.17,,0.77,Success
7701.T,Shimadzu Corp,29-02-2024,1168191.73,,2.67,Success
AESI,Atlas Energy Solutions Inc,27-02-2024,2339.93,,0.73,Success
DNN,Denison Mines Corp,26-02-2024,1597.79,,-3.84,Success
EPD,Enterprise Products Partners LP,22-02-2024,55754.27,,1.89,Success
CHRD,Chord Energy Corp,21-02-2024,9384.8,,1.62,Success
WEC,WEC Energy Group Inc,21-02-2024,24293.15,,0.96,Success
FANG,Diamondback Energy Inc,12-02-2024,45993.3,,1.6,Success
BEPC,Brookfield Renewable Corp,12-02-2024,4383.55,,,Success
SHEL,Shell PLC,10-02-2024,,,1.09,Success
VTLE,Vital Energy Inc,09-02-2024,1647.23,,-6.11,Success
MGEE,MGE Energy Inc,09-02-2024,2325.37,,0.78,Success
DNOW,DNOW Inc,06-02-2024,1042.07,,1.42,Success
NWN,Northwest Natural Holding Co,06-02-2024,1365.61,,0.86,Success
AWK,American Water Works Co Inc,05-02-2024,23019.27,,0.73,Success
MGEE,MGE Energy Inc,02-02-2024,2285.56,,0.78,Success
BKH,Black Hills Corp,01-02-2024,3553.78,,0.98,Success
WFRD,Weatherford International PLC,01-02-2024,6351.88,,2.17,Success
AMPS,Altus Power Inc,31-01-2024,862.4,,0.79,Success
WTTR,Select Water Solutions Inc,30-01-2024,768.55,,-0.12,Success
NVAX,NOV Inc,30-01-2024,648.2,,-7.08,Success
BP,BP PLC,25-01-2024,85734.18,,-0.69,Success
