Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status
2024-02-02,2023,MGEE,MGE Energy Inc,690.28,1771471.72,2566.2903,Brown,4 MW solar hybrid project west riverside energy center/Wisconsin,Green,Alliant Energy Corp,,,2024-01-29,64.21,2024-02-05,60.55,-5.7,Completed
2024-02-01,2023,WFRD,Weatherford International PLC,5135.0,116153.0,22.6199,Green,"Probe Technology Services Inc,Impact Selector International LLC",Neutral,Turnbridge Capital LLC,,,2024-01-26,98.26,2024-02-05,84.08,-14.42,Completed
2024-01-31,2023,AMPS,Altus Power Inc,155.16,645.85,4.3535,Green,84 MWs of commercial scale solar arrays/US,Green,Vitol Holding BV,118.0,,2024-01-26,5.46,2024-02-05,5.31,-2.75,Completed
2024-01-30,2023,WTTR,Select Water Solutions Inc,1585.35,244677.91,93.8009,Brown,"Tri-State Water Logistics LLC,Iron Mountain Energy LLC,Facilities & recycling capacity/Rockies Region",Neutral,,90.0,,2024-01-26,7.48,2024-02-02,7.39,-1.17,Completed
2024-01-30,2023,NVAX,NOV Inc,983.7,11985.68,22.11,Green,Extract Production Services LLC,Brown,"White Deer Management LLC,Riata Capital Group (Fund: RCG Equity Fund II LP)",,,2024-01-26,4.06,2024-02-02,3.93,-3.2,Completed
2024-01-22,2023,SUN,Sunoco LP,23068.0,193605.84,5.8905,Green,NuStar Energy LP,Brown,,6481.94,9.53,2024-01-18,55.93,2024-01-25,52.19,-6.7,Completed
2024-01-16,2023,TALO,Talos Energy Inc,1457.89,646960.3,943.1981,Brown,QuarterNorth Energy Inc,Brown,,1312.46,,2024-01-12,13.51,2024-01-19,12.73,-5.77,Completed
2024-01-11,2023,EXE,Expand Energy Corp,8721.0,408061.81,178.5706,Brown,Southwestern Energy Co,Brown,,11597.17,1.35,2024-01-05,76.5,2024-01-16,75.98,-0.68,Completed
2024-01-11,2023,SUN,Sunoco LP,23068.0,193605.84,5.8905,Green,Zenith Energy Netherlands BV,Green,Zenith Energy Ltd,186.17,,2024-01-05,54.23,2024-01-16,57.5,6.04,Completed
2024-01-04,2023,APA,APA Corp,8378.0,5962692.56,774.5712,Brown,Callon Petroleum Co,Brown,,4454.48,2.04,2023-12-29,34.32,2024-01-08,32.27,-5.99,Completed
2023-12-28,2022,NFE,New Fortress Energy Inc,2368.27,679964.0,2143.0068,Brown,1.6 GW Capacity Reserve Contract,Neutral,Ceiba Energy LLC,,,2023-12-22,37.11,2024-01-02,36.59,-1.4,Completed
2023-12-22,2022,VTLE,Vital Energy Inc,1920.8,386367.84,201.1499,Brown,Producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",55.0,,2023-12-18,45.11,2023-12-26,47.73,5.81,Completed
