Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price ($),T_plus_10_Date,T_plus_10_Price ($),Percent_Return,Deal Status
2024-12-31,2023,DTM,DT Midstream Inc,922.0,5856083.83,6351.5009,Brown,3 interstate natural gas pipeline systems/ONEOK Inc,Brown,ONEOK Inc,1200.0,,2024-12-20,100.05,2025-01-10,102.6,2.56,Completed
2024-12-31,2023,CPF,Central Pacific Financial Corp,329.32,3287765.3,9983.4972,Brown,American Savings Bank FSB/Honolulu HI,Neutral,Hawaiian Electric Industries Inc,405.0,,2024-12-20,28.03,2025-01-10,26.25,-6.33,Completed
2024-12-24,2023,CEG,Constellation Energy Corp,24918.0,9679181.0,388.4413,Brown,Portfolio of 26 acre mystic property/Constellation Energy Corp,Neutral,Eversource Energy,,,2024-12-13,238.62,2025-01-03,251.93,5.58,Completed
2024-12-05,2023,CNX,CNX Resources Corp,1539.46,559825.29,363.65,Brown,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Brown,Wcaa Upstream LLC,505.0,,2024-11-22,41.09,2024-12-16,36.9,-10.2,Completed
2024-12-05,2023,AMPS,Altus Power Inc,155.16,645.85,4.1624,Green,Portfolio of 3 operational projects/Maine,Neutral,,,,2024-11-22,4.17,2024-12-16,3.81,-8.63,Completed
2024-12-04,2023,CRGY,Crescent Energy Co,2382.6,671906.16,282.0052,Brown,Eagle Ford assets/Ridgemar Energy Operating LLC,Brown,Ridgemar Energy Operating LLC,905.0,,2024-11-22,15.11,2024-12-16,14.05,-7.0,Completed
2024-12-03,2023,SMC,Summit Midstream Corp,458.9,10916116.91,23787.4168,Brown,Tall Oak Midstream III LLC,Brown,Tailwater Capital LLC,155.0,,2024-11-22,37.35,2024-12-13,35.91,-3.86,Completed
2024-12-03,2023,NU,Eversource Energy,8028.98,23.1,0.0029,Green,Municipal wastewater system/New England,Brown,City of Ansonia CT,,,2024-11-22,13.91,2024-12-13,11.94,-14.16,Completed
2024-12-03,2023,MARA,MARA Holdings Inc,387.51,1455.59,3.7563,Green,North Texas wind farm/Hansford County,Green,"Washington State Investment Board,National Grid Partners LLC",,,2024-11-22,26.03,2024-12-13,22.73,-12.68,Completed
2024-12-02,2023,CVE,Cenovus Energy Inc,52195.0,8469286.41,162.2624,Brown,Gear Energy Ltd,Brown,,129.48,2.79,2024-11-21,16.2,2024-12-12,15.11,-6.73,Completed
