Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price ($),T_plus_10_Date,T_plus_10_Price ($),Percent_Return,Deal Status
2024-12-02,2023,INVX,Innovex International Inc,555.54,8890.86,16.004,Green,Downhole Well Solutions LLC,Brown,,,,2024-11-21,17.36,2024-12-12,13.22,-23.85,Completed
2024-11-26,2023,DNOW,DNOW Inc,2321.0,19582.0,8.4369,Green,Trojan Rentals LLC,Brown,,,,2024-11-15,14.37,2024-12-06,14.63,1.81,Completed
2024-11-25,2023,SPRU,Spruce Power Holding Corp,79.86,342.15,4.2845,Green,Portfolio of 9800 residential solar systems/New Jersey,Green,New Jersey Resources Corp,132.5,,2024-11-14,2.29,2024-12-05,2.94,28.38,Completed
2024-11-24,2023,OKE,ONEOK Inc,17677.0,3994126.2,225.9505,Brown,EnLink Midstream LLC,Brown,,8631.38,8.38,2024-11-13,107.02,2024-12-04,107.59,0.53,Completed
2024-11-21,2023,AMPS,Altus Power Inc,155.16,645.85,4.1624,Green,3.4 MW Community Solar Development Project/Maryland,Green,Chaberton Energy Holdings Inc,,,2024-11-08,3.11,2024-12-02,4.04,29.9,Completed
2024-11-19,2023,DTM,DT Midstream Inc,922.0,5856083.83,6351.5009,Brown,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",Brown,ONEOK Partners LP,1200.0,,2024-11-08,96.34,2024-11-29,104.44,8.41,Completed
2024-11-13,2023,CTRA,Coterra Energy Inc,5914.0,1358410.0,229.6939,Brown,Certain Assets,Neutral,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,2024-11-01,22.34,2024-11-25,26.77,19.83,Completed
2024-11-11,2023,MARA,MARA Holdings Inc,387.51,1455.59,3.7563,Green,372 Megawatt Capacity/Ohio,Neutral,,,,2024-10-31,16.77,2024-11-21,24.18,44.19,Completed
2024-11-06,2023,NOW,ServiceNow Inc,8971.0,2430.0,0.2709,Green,Mission Secure Inc,Green,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,2024-10-25,950.85,2024-11-18,1005.34,5.73,Completed
2024-10-31,2023,AEE,Ameren Corp,7500.0,19781102.63,2637.4804,Brown,Huck Finn Renewable Energy center/Missouri,Green,,,,2024-10-18,87.56,2024-11-11,90.97,3.89,Completed
2024-10-30,2023,EQNR,Equinor ASA,106848.0,11449109.44,107.1532,Brown,Northern Marcellus gas unit/US,Brown,EQT Corp,1250.0,,2024-10-18,23.45,2024-11-11,22.15,-5.55,Completed
2024-10-29,2023,CECO,CECO Environmental Corp,544.84,5978.08,10.9721,Green,Profire Energy Inc,Brown,,107.64,8.3,2024-10-18,26.86,2024-11-08,25.08,-6.63,Completed
2024-10-24,2023,D,Dominion Energy Inc,14393.0,29523724.0,2051.2557,Brown,Kitty Hawk North offshore wind lease area/Kitty Hawk,Green,Avangrid Inc,160.0,,2024-10-11,54.93,2024-11-04,56.3,2.49,Completed
2024-10-23,2023,SHEL,Shell PLC,316620.0,40524988.22,127.9925,Brown,RISEC Holdings LLC,Neutral,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,2024-10-11,67.05,2024-11-04,66.32,-1.1,Completed
2024-10-15,2023,CIFR,Cipher Mining Inc,126.84,476.45,3.7563,Green,1.5 GW of Data Center/Texas,Neutral,Juvo Energy Ltd,4.1,,2024-10-04,4.1,2024-10-25,5.46,33.17,Completed
2024-10-07,2023,CRK,Comstock Resources Inc,1565.11,402370.89,257.0881,Brown,Quantum Generative Materials LLC,Green,,,,2024-09-26,10.93,2024-10-17,11.61,6.22,Completed
2024-10-04,2023,DSGR,Distribution Solutions Group I,1570.4,21419.68,13.6396,Green,ConRes Test Equipment/Continental Resources Inc,Brown,Continental Resources Inc/OK,,,2024-09-23,37.91,2024-10-14,40.12,5.83,Completed
2024-10-01,2023,SMC,Summit Midstream Corp,458.9,10916116.91,23787.4168,Brown,Tall Oak Midstream LLC,Brown,Tailwater Capital LLC,425.18,,2024-09-20,35.91,2024-10-11,36.15,0.67,Completed
2024-09-30,2023,ULBI,Ultralife Corp,158.64,5610.41,35.3648,Brown,Electrochem Solutions Inc,Green,Integer Holdings Corp,50.0,,2024-09-19,9.58,2024-10-10,8.96,-6.47,Completed
2024-09-12,2023,APO,Apollo Global Management Inc,32781.0,1182.0,0.0361,Green,Freedom CNG Management LLC,Brown,,,,2024-08-30,115.07,2024-09-23,124.52,8.21,Completed
2024-09-03,2023,WFRD,Weatherford International PLC,5135.0,116153.0,22.6199,Green,Datagration LLC,Neutral,,,,2024-08-23,107.3,2024-09-13,90.93,-15.26,Completed
2024-08-29,2023,OKE,ONEOK Inc,17677.0,3994126.2,225.9505,Brown,Medallion Midstream LLC,Brown,Global Infrastructure Management LLC,2600.0,,2024-08-16,85.65,2024-09-09,90.13,5.24,Completed
2024-08-27,2023,TPL,Texas Pacific Land Corp,631.6,13819.0,21.8795,Green,2 oil & gas mineral interests/Permian Basin,Brown,,169.0,,2024-08-16,818.65,2024-09-06,796.82,-2.67,Completed
2024-08-06,2023,CEG,Constellation Energy Corp,24918.0,9679181.0,388.4413,Brown,Constellation South Texas LLC,Brown,,,,2024-07-26,174.12,2024-08-16,189.33,8.74,Completed
2024-08-06,2023,MPLX,MPLX LP,11281.0,5401376.57,478.803,Brown,BANGL NGL pipeline/Permian,Brown,,,,2024-07-26,40.6,2024-08-16,40.76,0.4,Completed
2024-07-29,2023,PR,Permian Resources Corp,3120.89,892378.21,285.9368,Brown,Certain Basin assets/Texas,Neutral,Occidental Petroleum Corp,818.0,,2024-07-18,15.69,2024-08-08,14.03,-10.58,Completed
2024-07-29,2023,SD,SandRidge Energy Inc,148.64,33621.26,226.191,Brown,Certain Assets,Neutral,,144.0,,2024-07-18,13.02,2024-08-08,12.3,-5.53,Completed
2024-07-23,2023,FLS,Flowserve Corp,4320.58,14551.5,3.368,Green,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Brown,Nexgen Cryogenic Solutions Inc,,,2024-07-12,48.0,2024-08-02,46.47,-3.2,Completed
2024-07-22,2023,AROC,Archrock Inc,990.34,18566.68,18.7478,Green,Total Operations & Production Services LLC,Green,Apollo Global Management Inc,969.63,,2024-07-11,20.97,2024-08-01,19.05,-9.12,Completed
2024-07-22,2023,DOV,Dover Corp,7684.48,54787.0,7.1296,Green,Marshall Excelsior Co,Neutral,Harbour Group Industries Inc,395.0,,2024-07-11,180.66,2024-08-01,177.73,-1.62,Completed
2024-07-10,2023,HON,Honeywell International Inc,36662.0,695159.08,18.9613,Brown,Liquefied natural gas process technology and equipment business/Allentown,Brown,Air Products and Chemicals Inc,1810.0,,2024-06-28,210.21,2024-07-22,213.59,1.61,Completed
2024-07-09,2023,SEI,Solaris Energy Infrastructure,292.95,4068.43,13.8879,Green,Mobile Energy Rentals LLC,Neutral,,198.63,,2024-06-28,8.41,2024-07-19,12.66,50.58,Completed
2024-07-09,2023,UTL,Unitil Corp,557.1,20546.16,36.8806,Brown,Bangor Natural Gas Co,Brown,Hearthstone Utilities Inc,70.9,,2024-06-28,50.64,2024-07-19,56.0,10.6,Completed
2024-07-08,2023,DVN,Devon Energy Corp,15258.0,2188624.65,143.4411,Brown,Williston Basin business/Grayson Mill Energy LLC,Brown,Grayson Mill Energy LLC,5000.0,,2024-06-27,45.87,2024-07-18,47.28,3.08,Completed
2024-06-30,2023,AMPS,Altus Power Inc,155.16,645.85,4.1624,Green,9.8 MW solar energy facilities/Massachusetts,Green,,9.8,,2024-06-18,4.44,2024-07-10,4.2,-5.41,Completed
2024-06-27,2023,GNRC,Generac Holdings Inc,4022.67,34280.0,8.5217,Brown,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Green,Sungrid Solutions Inc,,,2024-06-14,134.97,2024-07-08,142.19,5.35,Completed
2024-06-24,2023,AMPS,Altus Power Inc,155.16,645.85,4.1624,Green,8.5 MW solar array/New Jersey,Green,,,,2024-06-13,4.38,2024-07-05,4.02,-8.22,Completed
2024-06-12,2023,MTDR,Matador Resources Co,2808.05,1051432.0,374.4355,Brown,Ameredev Stateline II LLC,Brown,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905.0,,2024-05-31,62.58,2024-06-24,58.47,-6.57,Completed
2024-06-10,2023,NE,Noble Corp PLC,2589.02,880644.0,340.146,Brown,Diamond Offshore Drilling Inc,Brown,,2171.27,12.19,2024-05-30,43.05,2024-06-20,42.31,-1.7,Completed
2024-06-03,2023,PUMP,ProPetro Holding Corp,1630.4,294004.68,180.3268,Green,Aqua Prop LLC,Brown,,24.88,,2024-05-23,9.54,2024-06-13,8.58,-10.06,Completed
2024-05-28,2023,COP,ConocoPhillips,56141.0,8221074.88,146.4362,Brown,Marathon Oil Corp,Brown,,22921.61,5.22,2024-05-17,119.03,2024-06-07,109.54,-7.98,Completed
2024-05-22,2023,KMI,Kinder Morgan Inc,15334.0,14900000.0,971.6969,Brown,Oil & gas producing assets/US,Brown,,100.0,,2024-05-10,18.41,2024-06-03,18.82,2.2,Completed
2024-05-16,2023,CRGY,Crescent Energy Co,2382.6,671906.16,282.0052,Brown,SilverBow Resources Inc,Brown,,2025.54,4.52,2024-05-03,10.15,2024-05-28,12.09,19.17,Completed
2024-05-13,2023,OKE,ONEOK Inc,17677.0,3994126.2,225.9505,Brown,Certain pipeline systems/Gulf Coast,Neutral,Easton Energy LLC,280.0,,2024-05-02,74.46,2024-05-23,77.6,4.21,Completed
2024-05-09,2023,KNTK,Kinetik Holdings Inc,1256.41,2020748.93,1608.349,Brown,Durango Permian LLC,Brown,Morgan Stanley Energy Partners,315.0,,2024-04-26,37.27,2024-05-20,39.1,4.89,Completed
2024-04-30,2023,PWR,Quanta Services Inc,20882.21,988361.19,47.3303,Brown,Sherman + Reilly Inc,Neutral,Greenlee Textron Inc,,,2024-04-19,243.02,2024-05-10,271.22,11.6,Completed
2024-04-29,2023,TMHC,Taylor Morrison Home Corp,7417.83,117397.11,15.8263,Green,Pyatt Builders LLC,Neutral,,,,2024-04-18,54.03,2024-05-09,59.4,9.94,Completed
2024-04-26,2023,APO,Apollo Global Management Inc,32781.0,1182.0,0.0361,Green,US Silica Holdings Inc,Brown,,1850.0,4.32,2024-04-15,106.1,2024-05-06,109.94,3.63,Completed
2024-04-15,2023,EQNR,Equinor ASA,106848.0,11449109.44,107.1532,Brown,Non-operated natural gas assets/EQT Corp,Brown,EQT Corp,500.0,,2024-04-04,25.79,2024-04-25,25.72,-0.25,Completed
2024-04-01,2023,AM,Antero Midstream Corp,1041.77,1021615.77,980.6529,Brown,Gathering & compression assets/Summit Midstream Partners LP,Brown,Summit Midstream Partners LP,70.0,,2024-03-21,13.18,2024-04-11,13.21,0.21,Completed
2024-04-01,2023,WTTR,Select Water Solutions Inc,1585.35,244677.91,154.3365,Brown,Trinity Environmental Services LLC,Green,,,,2024-03-21,9.07,2024-04-11,9.09,0.22,Completed
2024-03-29,2023,LUV,Southwest Airlines Co,26091.0,20684739.36,792.7921,Brown,SAFFiRE Renewables LLC,Green,,,,2024-03-18,27.36,2024-04-08,27.98,2.28,Completed
2024-03-22,2023,MPLX,MPLX LP,11281.0,5401376.57,478.803,Brown,Summit Midstream Utica LLC,Brown,Summit Midstream Partners LP,625.0,,2024-03-11,37.5,2024-04-01,38.14,1.7,Completed
2024-03-22,2023,REPX,Riley Exploration Permian Inc,375.05,84832.27,226.191,Brown,Upstream oil & gas assets/Eddy County,Brown,Contango Oil & Gas Co,20.5,,2024-03-11,26.22,2024-04-01,32.07,22.31,Completed
2024-03-18,2023,INVX,Innovex International Inc,555.54,8890.86,16.004,Green,Innovex Downhole Solutions Inc,Brown,,739.4,7.13,2024-03-07,22.49,2024-03-28,22.53,0.18,Completed
2024-03-12,2023,BLK,BlackRock Inc,17859.0,6689.0,0.3745,Green,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Green,Excelsior Energy Capital LP,,,2024-03-01,791.51,2024-03-22,806.19,1.86,Completed
2024-03-11,2023,EQT,EQT Corp,5647.76,334460.44,59.22,Brown,Equitrans Midstream Corp,Brown,,12880.88,12.38,2024-02-29,36.55,2024-03-21,33.81,-7.51,Completed
2024-03-11,2023,ACA,Arcosa Inc,2307.9,269401.5,116.7301,Brown,Ameron Pole Products LLC,Brown,NOV Inc,180.0,,2024-02-29,82.82,2024-03-21,84.96,2.59,Completed
2024-03-05,2023,TALO,Talos Energy Inc,1457.89,646960.3,443.766,Brown,Quarternorth Energy Holding Inc,Brown,,,,2024-02-23,12.95,2024-03-15,12.85,-0.77,Completed
2024-02-29,2023,LUV,Southwest Airlines Co,26091.0,20684739.36,792.7921,Brown,LanzaJet Inc,Green,,30.0,,2024-02-16,32.97,2024-03-11,32.99,0.09,Completed
2024-02-21,2023,WEC,WEC Energy Group Inc,8893.0,19011373.22,2137.7908,Brown,Samson I solar energy center/Wisconsin,Green,,28.1,,2024-02-09,73.98,2024-03-04,76.87,3.91,Completed
2024-02-12,2023,FANG,Diamondback Energy Inc,8302.0,1568750.32,188.9605,Brown,Endeavor Energy Resources LP,Brown,,24997.05,,2024-02-01,145.18,2024-02-22,168.01,15.72,Completed
2024-02-10,2023,SHEL,Shell PLC,316620.0,40524988.22,127.9925,Brown,45 fuel & convenience store sites/New Mexico,Brown,Brewer Oil Co,,,2024-01-30,60.71,2024-02-20,61.12,0.67,Completed
2024-02-09,2023,VTLE,Vital Energy Inc,1547.6,254174.78,164.2376,Brown,2nd producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",78.0,,2024-01-29,44.12,2024-02-20,45.69,3.56,Completed
2024-02-09,2023,MGEE,MGE Energy Inc,690.28,1771471.72,2566.2903,Brown,723.2 mw natural gas project/Wisconsin,Brown,Alliant Energy Corp,,,2024-01-29,64.21,2024-02-20,63.29,-1.44,Completed
2024-02-06,2023,DNOW,DNOW Inc,2321.0,19582.0,8.4369,Green,Whitco Supply LLC,Brown,,185.0,,2024-01-26,10.11,2024-02-16,12.14,20.08,Completed
2024-02-06,2023,NWN,Northwest Natural Holding Co,1197.47,157587.89,131.6001,Brown,Truxton Canyon Water Co Inc,Neutral,,,,2024-01-26,36.4,2024-02-16,34.73,-4.59,Completed
2024-02-05,2023,AWK,American Water Works Co Inc,4234.0,76351.62,18.033,Green,Appliance Service Plan/Consumers Energy,Neutral,CMS Energy Corp,,,2024-01-25,120.47,2024-02-15,121.44,0.81,Completed
2024-02-02,2023,MGEE,MGE Energy Inc,690.28,1771471.72,2566.2903,Brown,4 MW solar hybrid project west riverside energy center/Wisconsin,Green,Alliant Energy Corp,,,2024-01-22,66.85,2024-02-12,64.35,-3.74,Completed
2024-02-01,2023,WFRD,Weatherford International PLC,5135.0,116153.0,22.6199,Green,"Probe Technology Services Inc,Impact Selector International LLC",Neutral,Turnbridge Capital LLC,,,2024-01-19,94.38,2024-02-12,96.75,2.51,Completed
2024-01-31,2023,AMPS,Altus Power Inc,155.16,645.85,4.1624,Green,84 MWs of commercial scale solar arrays/US,Green,Vitol Holding BV,118.0,,2024-01-19,5.49,2024-02-12,6.92,26.05,Completed
2024-01-30,2023,WTTR,Select Water Solutions Inc,1585.35,244677.91,154.3365,Brown,"Tri-State Water Logistics LLC,Iron Mountain Energy LLC,Facilities & recycling capacity/Rockies Region",Neutral,,90.0,,2024-01-19,6.89,2024-02-09,7.36,6.91,Completed
2024-01-30,2023,NVAX,NOV Inc,983.7,11985.68,12.1842,Green,Extract Production Services LLC,Brown,"White Deer Management LLC,Riata Capital Group (Fund: RCG Equity Fund II LP)",,,2024-01-19,4.05,2024-02-09,4.03,-0.49,Completed
2024-01-22,2023,SUN,Sunoco LP,23068.0,193605.84,8.3928,Green,NuStar Energy LP,Brown,,6481.94,9.53,2024-01-11,54.96,2024-02-01,55.08,0.22,Completed
2024-01-16,2023,TALO,Talos Energy Inc,1457.89,646960.3,443.766,Brown,QuarterNorth Energy Inc,Brown,,1312.46,,2024-01-05,13.71,2024-01-26,13.18,-3.87,Completed
2024-01-11,2023,EXE,Expand Energy Corp,8721.0,408061.81,46.7907,Brown,Southwestern Energy Co,Brown,,11597.17,1.35,2023-12-29,74.32,2024-01-22,72.74,-2.12,Completed
2024-01-11,2023,SUN,Sunoco LP,23068.0,193605.84,8.3928,Green,Zenith Energy Netherlands BV,Green,Zenith Energy Ltd,186.17,,2023-12-29,55.41,2024-01-22,52.46,-5.32,Completed
2024-01-04,2023,APA,APA Corp,8378.0,5962692.56,711.7084,Brown,Callon Petroleum Co,Brown,,4454.48,2.04,2023-12-22,34.4,2024-01-16,29.91,-13.04,Completed
2023-12-28,2022,NFE,New Fortress Energy Inc,2368.27,679964.0,287.114,Brown,1.6 GW Capacity Reserve Contract,Neutral,Ceiba Energy LLC,,,2023-12-15,37.02,2024-01-08,35.8,-3.29,Completed
2023-12-22,2022,VTLE,Vital Energy Inc,1920.8,386367.84,201.1499,Brown,Producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",55.0,,2023-12-11,42.62,2024-01-02,45.21,6.08,Completed
2023-12-20,2022,CPK,Chesapeake Utilities Corp,680.7,215226.0,316.1815,Brown,Propane Operating Assets/Jt Lee & Sons Inc,Neutral,JT Lee & Sons Inc,3.9,,2023-12-08,97.04,2024-01-02,102.95,6.09,Completed
2023-12-14,2022,SHEL,Shell PLC,381314.0,41006166.52,107.5391,Brown,Kaikias field/US Gulf of Mexico,Brown,Mitsui & Co Ltd,,,2023-12-01,62.18,2023-12-26,62.82,1.04,Completed
2023-12-11,2022,OXY,Occidental Petroleum Corp,36634.0,17551718.18,479.1101,Brown,CrownRock LP,Brown,"Lime Rock Partners LLC,Crownquest Operating LLC",12000.0,,2023-11-30,57.73,2023-12-21,59.17,2.51,Completed
2023-12-11,2022,WCN,Waste Connections Inc,7211.86,4812957.0,667.367,Brown,29 facilities/Secure Energy Services Inc,Green,Secure Waste Infrastructure Co,791.74,,2023-11-30,134.58,2023-12-21,146.31,8.72,Completed
2023-12-07,2022,ARRY,Array Technologies Inc,1637.55,287.0,0.1753,Green,Litigation Solutions Inc,Neutral,,,,2023-11-24,15.07,2023-12-18,18.97,25.88,Completed
2023-12-04,2022,PUMP,ProPetro Holding Corp,1279.7,245111.5,191.5381,Green,PAR Five Energy Services LLC,Brown,,25.4,,2023-11-22,9.18,2023-12-14,8.59,-6.43,Completed
2023-11-21,2022,NOG,Northern Oil and Gas Inc,1570.54,351378.58,223.7318,Brown,Core non operated properties/Northern Delaware,Neutral,,162.6,,2023-11-10,34.39,2023-12-01,35.87,4.29,Completed
2023-11-06,2022,VRN,Veren Inc,3512.3,719333.0,204.804,Brown,Hammerhead Energy Inc,Green,,1710.59,,2023-10-26,7.6,2023-11-16,6.51,-14.36,Completed
2023-11-03,2022,ENB,Enbridge Inc,53309.0,7717086.43,144.7614,Brown,7 Operating landfill gas-to-RNG facilities/Morrow Renewables,Green,Morrow Renewables LLC,1200.0,,2023-10-23,29.97,2023-11-13,31.55,5.26,Completed
2023-11-03,2022,FET,Forum Energy Technologies Inc,699.91,8352.06,11.933,Green,Variperm Energy Services Inc,Brown,,155.28,,2023-10-23,22.66,2023-11-13,23.14,2.12,Completed
2023-11-02,2022,COP,ConocoPhillips,78494.0,4988534.87,63.5531,Brown,Torys LLP,Neutral,,,,2023-10-20,119.11,2023-11-13,111.31,-6.54,Completed
2023-11-01,2022,BIP,Brookfield Infrastructure Partners LP,14427.0,2453832.9,170.0862,Brown,Portfolio of 2 Data centres/Silicon Valley,Neutral,Digital Core REIT Management Pte Ltd,160.2,,2023-10-20,21.97,2023-11-13,23.97,9.13,Completed
2023-10-23,2022,BIP,Brookfield Infrastructure Partners LP,14427.0,2453832.9,170.0862,Brown,Data centers/Cyxtera Technologies Inc,Neutral,Cyxtera Technologies Inc,775.0,,2023-10-12,26.0,2023-11-02,25.72,-1.06,Completed
2023-10-23,2022,ORA,Ormat Technologies Inc,734.16,192441.77,262.1255,Brown,Portfolio of 150 MW Operating Geothermal & Solar Assets/Nevada,Green,Enel SpA,271.0,,2023-10-12,66.11,2023-11-02,63.0,-4.7,Completed
2023-10-13,2022,HLX,Helix Energy Solutions Group Inc,873.1,226639.44,259.5802,Green,Plugging & Abandonment Business/QuarterNorth Energy LLC,Brown,QuarterNorth Energy LLC,,,2023-10-02,10.71,2023-10-23,10.13,-5.42,Completed
2023-10-11,2022,XOM,Exxon Mobil Corp,398675.0,109000000.0,273.4057,Brown,Pioneer Natural Resources Co,Brown,,67995.45,5.39,2023-09-29,111.67,2023-10-23,103.95,-6.91,Completed
2023-10-09,2022,VTS,Vitesse Energy Inc,300.07,43.78,0.1459,Green,Williston Basin/North Dakota,Neutral,,,,2023-09-28,20.34,2023-10-19,22.01,8.2,Completed
2023-10-05,2022,XIFR,XPLR Infrastructure LP,969.0,90846.35,93.7527,Green,South Texas Midstream LLC,Brown,,,,2023-09-22,41.15,2023-10-16,18.71,-54.52,Completed
2023-10-04,2022,CIVI,Civitas Resources Inc,3791.4,1250800.0,329.9047,Brown,Oil producing assets/Midland Basin,Brown,Vencer Energy LLC,2135.7,,2023-09-22,68.92,2023-10-16,66.96,-2.84,Completed
2023-09-27,2022,CPK,Chesapeake Utilities Corp,680.7,215226.0,316.1815,Brown,Florida City Gas Co,Brown,NextEra Energy Inc,923.0,,2023-09-15,107.56,2023-10-09,89.23,-17.04,Completed
2023-09-26,2022,CPK,Chesapeake Utilities Corp,680.7,215226.0,316.1815,Brown,Pivotal Utility Holdings Inc,Brown,Florida Power & Light Co,923.4,,2023-09-15,107.56,2023-10-06,90.42,-15.94,Completed
2023-09-18,2022,GPRE,Green Plains Inc,3662.85,1296632.04,353.9955,Brown,Green Plains Partners LP,Green,,280.01,7.03,2023-09-07,32.79,2023-09-28,30.2,-7.9,Completed
2023-09-14,2022,CVX,Chevron Corp,235717.0,53000000.0,224.8459,Brown,ACES Delta project/Central,Green,,,,2023-09-01,154.17,2023-09-25,158.31,2.68,Completed
2023-09-12,2022,FTV,Fortive Corp,5825.7,24419.55,4.1917,Green,Solmetric Corp,Green,Vivint Solar Inc,,,2023-09-01,78.52,2023-09-22,73.81,-6.0,Completed
2023-09-12,2022,CVX,Chevron Corp,235717.0,53000000.0,224.8459,Brown,Magnum Development LLC,Brown,NGL Energy Partners LP,,,2023-09-01,154.17,2023-09-22,156.03,1.21,Completed
2023-09-07,2022,TS,Tenaris SA,11762.53,590.46,0.0502,Green,Pipe processing facility/Republic Tube LLC,Neutral,Republic Tube LLC,,,2023-08-25,30.83,2023-09-18,31.1,0.86,Completed
2023-09-06,2022,ENB,Enbridge Inc,53309.0,7717086.43,144.7614,Brown,Wexpro Co,Brown,Dominion Energy Inc,4300.0,,2023-08-25,32.1,2023-09-18,32.68,1.8,Completed
2023-09-06,2022,ENB,Enbridge Inc,53309.0,7717086.43,144.7614,Brown,Public Service Co of North Carolina Inc,Brown,Dominion Energy Inc,3200.0,13.54,2023-08-25,32.1,2023-09-18,32.68,1.8,Completed
2023-09-06,2022,ENB,Enbridge Inc,53309.0,7717086.43,144.7614,Brown,Questar Gas Co,Brown,Dominion Energy Inc,,,2023-08-25,32.1,2023-09-18,32.68,1.8,Completed
2023-09-05,2022,ENB,Enbridge Inc,53309.0,7717086.43,144.7614,Brown,East Ohio Gas Co/The,Brown,Dominion Energy Inc,6600.0,,2023-08-25,32.1,2023-09-15,32.74,2.01,Completed
2023-09-05,2022,WES,Western Midstream Partners LP,3251.72,278766.16,85.7288,Green,Meritage Midstream Services II LLC,Brown,Riverstone Holdings LLC,885.0,,2023-08-25,23.47,2023-09-15,22.78,-2.95,Completed
2023-08-23,2022,FSV,FirstService Corp,3745.84,42324.02,11.299,Green,Case Restoration Inc,Neutral,,,,2023-08-11,153.62,2023-09-05,149.78,-2.5,Completed
2023-08-22,2022,EQT,EQT Corp,6185.34,341957.7,55.2852,Brown,"THQ Appalachia I LLC,THQ-XcL Holdings I Midco LLC",Neutral,Quantum Energy Partners LLC,4498.28,,2023-08-11,42.01,2023-09-01,43.15,2.72,Completed
2023-08-21,2022,PR,Permian Resources Corp,2131.26,785931.98,368.7631,Brown,Earthstone Energy Inc,Brown,,2809.78,2.21,2023-08-10,11.29,2023-08-31,13.27,17.56,Completed
2023-08-21,2022,SPRU,Spruce Power Holding Corp,23.19,108.62,4.6829,Green,Portfolio of 2400 residential solar systems/California,Green,,,,2023-08-10,7.6,2023-08-31,6.33,-16.74,Completed
2023-08-16,2022,DINO,HF Sinclair Corp,38204.84,8525000.0,223.1393,Brown,Holly Energy Partners LP,Brown,,3748.21,13.04,2023-08-04,51.1,2023-08-28,52.94,3.6,Completed
