Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2024-12-02,2023,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,2024-11-21,17.36,2024-12-12,13.22,1110.21,7.29,8890.86,Completed,Neutral,Green,8.0083
2024-11-26,2023,DNOW,DNOW Inc,Trojan Rentals LLC,,,,2024-11-15,14.37,2024-12-06,14.63,1597.99,1.42,19582.0,Completed,Neutral,Brown,12.2541
2024-11-25,2023,SPRU,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,2024-11-14,2.29,2024-12-05,2.94,43.16,-6.63,342.15,Completed,Green,Green,7.9275
2024-11-21,2023,AMPS,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,2024-11-08,3.11,2024-12-02,4.04,649.6,0.79,645.85,Completed,Green,Green,0.9942
2024-11-20,2023,LB,Landbridge Co LLC,Wolf Bone Ranch/Delaware,VTX Energy Partners LLC,245.0,,2024-11-08,75.39,2024-12-02,72.71,1534.77,0.38,76.0,Completed,Neutral,Green,0.0495
2024-11-19,2023,DTM,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200.0,,2024-11-08,97.17,2024-11-29,105.34,10366.73,0.73,5856083.83,Completed,Brown,Brown,564.8921
2024-11-14,2023,FLEX,Flex Ltd,JETCOOL Technologies Inc,"In-Q-Tel Inc,Schooner Capital LLC,Robert Bosch Venture Capital GmbH,Raptor Group Holdings LP (Fund: RW3 Ventures I LP)",,,2024-11-01,35.48,2024-11-25,41.07,14420.0,1.44,167998.8,Completed,Neutral,Brown,11.6504
2024-11-13,2023,CTRA,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,2024-11-01,22.52,2024-11-25,26.99,19409.43,1.37,1358410.0,Completed,Neutral,Brown,69.9871
2024-11-11,2023,MARA,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,2024-10-31,16.77,2024-11-21,24.18,8487.94,-3.49,1455.59,Completed,Neutral,Green,0.1715
2024-11-06,2023,NOW,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,2024-10-25,950.85,2024-11-18,1005.34,205347.2,1.88,2430.0,Completed,Neutral,Green,0.0118
2024-10-31,2023,AEE,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,2024-10-18,88.19,2024-11-11,91.62,23338.86,0.46,9890558.98,Completed,Green,Brown,423.7807
2024-10-30,2023,EQNR,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250.0,,2024-10-18,23.45,2024-11-11,22.15,64881.14,1.69,11449109.44,Completed,Brown,Brown,176.4628
2024-10-29,2023,CECO,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,2024-10-18,26.86,2024-11-08,25.08,789.37,0.64,5978.08,Completed,Neutral,Green,7.5732
2024-10-24,2023,D,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160.0,,2024-10-11,54.93,2024-11-04,56.3,50594.16,-0.07,29523724.0,Completed,Green,Brown,583.5402
2024-10-23,2023,SHEL,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,2024-10-11,67.05,2024-11-04,66.32,195728.77,1.09,40524988.22,Completed,Neutral,Brown,207.0467
